content,at
"apk byu bagus banget sumpah, trs nggk ngelag menurut ku (cuman di beberapa daerah aja ngelag tapi yang lain aman), harga kuotanya juga murah murah, tapi sayang ini kenapa apknya nggk bisa dibuka yaa min?? trs di suruh log in lagi, pas mau klik log in tiba tiba keluar dari apk sendiri, udh di coba berkali kali sama aja🙏🏻, udh coba hapus cache tetap nggk bisa, udh uninstall dan install lagi tetap sama, ituu gimana yaa min?? (memori saya juga nggk penuh) dann udh di-update jugaa padahal",2025-05-11 09:31:12
"Dulu By.U cukup stabil, tapi sekarang sering lag, terutama saat main game online. Aneh banget, kalau direkam malah lancar, tapi kalau nggak, justru makin ngelag. Padahal sinyal penuh dan speedtest normal. Saya sudah coba berbagai cara: restart HP, reset jaringan, ubah APN, bahkan pakai HP lain. Hasilnya tetap sama, hanya By.U yang bermasalah. CS juga nggak memberi solusi selain ""cek sinyal dan tunggu."" Tolong perbaiki, kalau tidak, saya terpaksa pindah ke provider lain yang lebih stabil.",2025-03-30 06:24:47
"untuk kendala apk sudah aman, sekarang tinggal sinyalnya yg kaga jelas, cuman buat nnton story wa loading lama banget, padahal paket data 60gb+, tolong by.u perbaiki ini kaga jelas banget, KECEWA BERAT kalo gak diperbaiki.",2025-04-26 12:53:57
"pengiriman lama dan ada terkendala (entah kendalanya apa) katanya di jnt ada masalah jd dialihkan ke jne tp penanganan pengaduannya juga lama. aktivasinya sempat terhambat karena jaringan tidak tersambung terus. overall jaringannya stabil, tp pelayanan admin online nya kurang cepat.",2025-05-12 14:03:17
"tolong lah kata nya sinyal kuat tapi malah lemot selama pemakaian 1 th+ jarang sinyal nya yang kuat dalam jangka panjang ,dan juga tolong di perbaiki aplikasi nya soal nya sering terjadi error tidak bisa masuk , aplikasi nya juga lumayan lemot gak tau kenapa dan juga terasa berat.",2025-06-12 14:11:48
"kalau sudahnmalam lewat jam 11 malam jaringan lelet, jam 00 tidak bisa akses apalagi jam 00 tidak bisa buka aplikasi by'u padahal saya membutuhkan buka aplikasi untuk tambah kuota internet. kacau. seharusnya secepatnya ditindak lanjutin, kalau promo kuota oke untuk pekerjaan saya. .",2025-04-23 00:45:58
"Surat terbuka untuk by.u tolong ini kenapa kagak stabil jaringan ? posisi saya di kota tapi serasa di hutan sangking loading nya, maen game patah patah, scorll ig loading, jadi tulung tulung ada problematik apa ini by.u sampai segininya sekarang ga biasa nya... btw mau paketin data dulu data 0 pun masih bisa sekarang malah langsung tiba tiba log out dari aplikasi 👉🏻👈🏻 sorry min kasih star 1 soal nya sudha terlawat parah gangguan nya 🥲",2025-06-21 11:06:01
"gabisa masuk ke aplikasi padahal mau cek kuota tinggal berapa, belum sampai masuk tiba² keluar sendiri. udah di hapus cache, restart hp, sampe download ulang apk juga. selain itu, tiba² pas lagi zoom gaada sinyal sama sekali. duh gimana sih. padahal saya user baru tp lumayan kecewa",2025-05-09 22:24:12
Mengecewakan.. Beli kuota 7 Gb pembayaran sudah terselesaikan tapi nggak ada konfirmasi masuk. Dicoba lagi melakukan pembayaran kedua kalinya masuk kuotanya. tetapi status pembayaran yg pertama jadi nggak jelas. sudah coba komplain ke CS tapi mengecewakan responnya. lebih baik pindah ke provider lain..,2025-03-25 15:51:46
"untuk jaringan by.u nya sih bagus cuman kalau untuk diaplikasi nya sudah mulai kendor untuk transaksinya, dulunya bisa melakukan transfer melalui akun virtual bank dan sekarang hanya bisa melalui ewallet doang itu kalau boleh kembalikan seperti dulu, dan tambahin untuk metode pembayarannya melalui QRIS. kedua, untuk android versi +12 susah menggunakan aplikasi by.u, seperti saya baru unduh aplikasi by.u di android 12, tidak dapat. terdapat tulisan ""Perangkat keras aman tidak tersedia""",2025-05-12 19:38:54
"Kecewa banget udah beli kuota topping malah kuota utama yang terpakai, sudah 2 kali seperti ini. padahal tidak ada atau pakai VPN. Saat kuota utama habis, kuota toping tidak bisa digunakan, aplikasi By.u juga tidak bisa dibuka. Sudah komplen lewat aplikasi dan IG tidak ada jawaban yang memuaskan dan solusi ataupun penyelesaian masalah. MENGECEWAKAN!!!",2025-05-20 17:41:16
"ada kendala di sering terjadi kesalahan, server gangguan setiap login, sinkronisasi agak lemot, cuma nggak terlalu problem amat masih bisa digunakan dengan baik, kedepannya aplikasi perlu ditingkatkan supaya lebih nyaman untuk pengguna,",2025-04-28 19:20:34
"lag, jaringannya lag baget, aneh padahal masih banyak kolta nya. waktu itu udah beli pulsa mau beli paket data nya ehh malah lag nunggu 5 jam ku kira masih lag, ternyata emang gitu, sampe malam aku tunggu masih tetap ngga bisa masuk ke apk nya, setelah pake wifi sodara buat beli paket data di apk nya bisa, kalo tau gitu ngga usah nunggu lama. terus sekarang banyak lag nya, aneh baget dulu ngga pernah lag ko sekarang sering yaa padahal suka isi pulsa nya",2025-05-14 20:38:46
"saya tau harga paket internet kalian itu murah bahkan bisa di bilang sangat murah,tapi tolong usahakan agar paket internet itu tetap worth it untuk dibeli,usahakan jaringan yang baik,masa saya pakai untuk bermain game online hampir setiap 15 detik sekali hilang jaringan dan itu sangat menggangu,padahal saya tinggal di daerah kota,jadi tolong lebih di tingkatkan lagi kualitas produk kalian",2025-06-15 17:10:43
"jujur menurut aku by.u ini bagus, dari Kouta nya yang murah"" dan aku juga udah setahunan pakai by.u, cuman kurangnya itu kadang"" ngelag, kaya datanya mati sendiri atau jaringan Telkomsel bagus tapi yang by.u ngelag, tapi cuman itu sih, soalnya aku juga tinggalnya dekat tower jadi sinyalnya cukup bagus. mungkin perlu perbaikan dikit aja, karena aku juga taunya kalau by.u itu sinyal lancar kalau tempat kita itu di pasar/gak jauh dari tower. sekian aja ya🙏",2025-04-22 06:31:07
"kecewa banget beli kartu by u dulu sulit masalah di registrasi, sekarang sinyalnya jelek parah. gak bisa upload, kirim video pendek, sampe buka aplikasipun gambarnya gak muncul. udah coba chat bantuan di apk by u tapi gak bisa. gak pernah sekecewa ini selama beli kartu lain. semoga bisa jadi bahan perbaikan untuk kedepannya.",2025-04-06 22:38:45
"bgus si. cuma jaringannya kdang bikin darah tinggi. apalagi di wilayah yg agak jauh dari kota. kadang kuat banget tapi kadang ngelag nya nauzubillah. harga paket data sih oke pada murah semua. cuma minus di jaringan aja yg kadang bikin emosi. tulisannya doang 4G+ cuma gimmic, tapi isinya kosong ( ngelag) 🗿",2025-06-01 16:38:09
"makin lama sinyalnya makin super lemot parah,ga bisa didalem ruangan harus keluar ruangan baru agak mendingan kuota memang murah tapi boros cepat habis,7gb sperti cuma 3gb,habisnya ga sesuai pemakaian,ukuran pemakaian nya ga normal kaya kartu jaringan lain,tlg diperbaiki",2025-05-29 08:51:18
"tiap buka apps atau fitur lainnya pasti muncul tulisan terjadi kesalahan terus, dan ga bisa buka apps nya kalau ga ada Internet, sangat berbeda dengan apps provider lain bisa memilih paket internet untuk di beli saat paket internet habis, isi pulsa gak bakal masuk kalo ga ada internetnya, gak tau apakah ini bug atau semacamnya apa gimana??? mohon penjelasanya",2025-06-03 00:04:20
"ini By.U makin lama makin gak jelas kocak, padahal niatan pake By.U buat lebih hemat dan stabil dibandingkan provider lain, lah sekarang malah sama aja kocak kek provider yg sebelumnya saya pakai, udah sinyal makin hari makin nge lag harga paket pun malah tiba tiba jadi naik tanpa pemberitahuan, udah mau ngikut ngikut kakak nya kah si Telkomsel yg kapitalis ?? padahal dulu awal awal pakai ini By.U bagus banget loh, sinyal stabil harga hemat jadi gak mikir mikir buat beli bulanan yg gede",2025-06-03 11:14:24
"apk,by.u. aneh sering kali jaringan buruk kalau Hospot teman jaringan nya makin buruk padahal baru isi data. selalu leg kalau di dalam ruangan tertutup maupun di ruangan terbuka, seringkali saya kalau mau main game atau scroll IG selalu harus keluar rumah biar jaringan nya Bagus. jadi tolong buat DEFELOPER tolong agar masalah ini cepat di selesaikan, soalnya udh pake by.u selama 3 Bulan masalah ini belum terselesaikan. jadi buat by.u kalau masih seperti ini saya akan pindah ke APK lain.",2025-04-23 06:52:36
"Sejak awal kartu byU terkenal karena paket datanya murah. Sekarang paket yg 7 GB harga 15k, naik jadi 20k. Minimal kalau mau naikin harga, saya saranin naikin kualitasnya juga lah. Jaringannya aja lelet bgt. Aplikasinya lebih parah lagi, bug terus. Keknya saya bklan ganti kartu aja sih setelah ini.",2025-06-04 18:13:52
"+ murah paket data nya, - sinyal nya kadang ilang, kadang sinyal jadi E kalo terlalu banyak membuka apk padahal cuma buka google 🤨 - ini paling gua gk suka adlh tiba² pulsa nya berkurang 3 ribu setiap ngisi pulsa, apalah notif kepotong 3 ribu untuk event itu kek nya yg bermasalah karna otomatis ilang tu pulsa kek hantu padahal mau beli paket data malah kurang, (kurang ajarrr) -lelet banget apk nya tolong respon apk tu yng tinggi napaaa",2025-04-24 19:52:40
assalamu'alaikum ulasan saya sangat sangat sangat kurang nyaman cuma pas di awal enak banyak promo data dan sinyal kuat tapi sekarang sinyal nya minta ampun hampir setiap detik ngelek dikit² ngelek update sering bukan tambah bagus sinyal mlh tambah lemot kenapa setiap aplikasi maupun game update sering tapi bukan nya membantu tapi mlh bikin emosional mending jangan lagi update selama nya sekalian juga² tambah rusak bukan tambah mudah cukup jangan lagi update kalau belum bisa memastikan nyaman...,2025-04-11 09:26:35
"paket kuota 9gb 17rb kadang hilang di / tidak muncul di pilihan.. kalo jualan yg konsisten dong, jangan di ilang-ilangin gitu, kadang baru isi kuota lain baru muncul pilihan 9gb 17rb.. yg paling parah, sering nge bug,.. seburuk itukah layanan telkomsel???",2025-05-22 21:02:15
"dlu suka banget sama kartu by.U karna selain harganya murah jaringannya jgh bagus,sisa pulsa kita aman dan gak kemakan SMA sekali,,namun sekarang by.U udah beda dn buat kecewa banget, harganya udah naik, jaringan nya makin hari makin jelek aja,,terus di tambah pulsa kita yg lebih,hari per hari makin berkurang gak tw hilang nya gimana,,kayak ke makan gitu deh😌",2025-06-05 20:34:01
"udah 5 tahun pake by.u, kemaren2 lancar banget , paketannya juga di aplikasi murah2. Tapi kenapa ya udah sebulan ini semenjak hp saya rusak dan saya pindahkan kartunya di hp lain sinyal bener2 kosong, gabisa dipake. aplikasi nya juga gabisa dibuka. Adakah solusinya?",2025-06-17 22:04:20
"nomer aku tiba tiba hangus padahal sim tersambung terus di hp ngga pernah aku lepas atau mode pesawat(emang iya ngga pernah pakai internetnya karena pakai wifi) tapi sinyal jaringan di hp masih ada, dan cs nyaranin ganti nomer mana gonta ganti cs kayak kurang profesional mana balesnya lama pula hp mati keluar aplikasi ngulang lagi, provider lain kalau nomer mati masih bisa bantu asalkan nomer belum ada yang pakai, mana nomer yang aku pakai udah kesimpan banyak relasi buruk banget sumpah by.U",2025-05-09 21:42:10
"well overall semuanya bagus lancar banget dan enak lah buat dipakai, namun ada satu yg saya kecewa dari by. U karena kenapa sekarang harga yg 7GB naik menjadi 20rb? padahal saya beralih ke aplikasi ini karena murah. mohon di kondisika kembali kritikan saya.",2025-06-02 19:21:49
"tolong di perbaiki lagi untuk aplikasinya saat di buka ngelek² kebanyakan menu gak jelas, buka aplikasi yg lain aman² aja gak lag , terus gaada tanggal kadaluwarsa paket nya jadi gak tau kapan berakhirnya Kouta kita,dan satu lagi kenapa jaringannya tiba² sering hilang habis itu bagus lagi tolong di perbaiki",2025-05-02 23:49:23
"Sinyal susah !!! Untuk daerah Majalengka kecamatan ligung !!! Sinyal 4G+ tapi buat game , buka tiktok susah nya minta ampun !!! Harga paketan oke cuman kualitas sinyal nya saja yang jelek walaupun tertera 4G+ Dan bar sinyal full !!!",2025-04-07 11:28:57
"nah ginikan enak, terimakasih sudah mempertimbangkan soal paket yang 7 GB 15 ribu, kini harga sudah kembali walaupun durasi paket hanya 20 ribu tapi masih masuk untuk kantong kocek para user pengguna by.u sudah ku kasi bintang full ya, sukses selalu buat by.u",2025-06-17 10:42:01
mulai lagi ni aplikasi mau ganti gambar error terus di arahkan ke bot gue nanya foto malah respon ganti nomor terus setiap mau login masuk. gambar buram di apk tiba tiba layar abu abu gitu terus setiap logout dari akun Gmail yg tertaut ke nomor by.u ganti gambar profil error terus padahal jaringan bagus,2025-06-13 14:50:37
"Walaupun berguna buat ngecek dan beli berbagai hal.. tapi apk ini masih bermasalah, setiap kali buka pasti ada aj yang error, loadingnya lama, respon apk lambat.. kebanyakan loading lah. Perbaiki dlu aplikasinya, baru di publish.. baru terlihat bisa dipake langsung di publish, bagian error nya di hiraukan, gimana pengguna bisa seneng kalo terus berurusan dengan error. Awalnya ngira By.U ini lebih bagus apk nya dari pada MyXL, ternyata malah lebih parah",2025-03-07 17:32:46
"Jaringan sangat buruk, bahkan untuk membuka sosmed sejenis ig tiktok lelet banget bahkan kadang gak bisa. Sering hilang jaringan, padahal diperkotaan. Cukup sekali aja nyobain pake ini, dari ulasan yg lain kyknya bnyak yg mengalami juga. Tolong diperbaiki kalo gk mau kalah dari yg lain",2025-01-25 21:33:59
"Bingung sama aplikasi nya kadang ga bisa dibuka, padahal paketan udah habis mau beli paket. Terus kadang koneksi nya ga stabil,kadang suka crash,tiba tiba hilang kayak perasaan dia. (Edit) Ini gimana yah makin kacau aja, mau isi paket karna habis Biasanya bisa pakai koneksi wifi dulu utk buka aplikasi lalu beli kuota. INI MALAH GAK BISA SAMA SEKALI",2025-02-28 14:57:04
"Aplikasi berat banget, suka bengong. Kode programnya terlalu bloated. Harus pake jaringan Telkomsel gak bisa di jaringan lain untuk akses aplikasi. Kalo lagi kuota habis tetibanya mau login via google jadinya kacau. Mau beli pulsa keyboard utk isi kode otp gak muncul di sebagian hp. Tidak mulus berjalan di beberapa jenis hp. Perlu lakukan optimasi kode programnya bos..",2025-02-01 05:23:53
"aplikasi nya sangat amat buruk, begitu pula jaringan nya, mulai dari jam 9+ jaringan jadi buruk, lalu aplikasi nya sangat amat lemot, gabisa fastresp, kadang kepencet sendiri, bahkan sampai bisa engga masuk atau ke reset sendiri aplikasi nya padahal ga di apa apain, sering kendala error padahal qouta aman, sering kendala tapi giliran pencet buat service malah ke refresh aneh banget, rate buat apk kartu ini bad banget, nyuruh ke by.u care tapi gabisa buruk buruk",2025-02-28 10:26:46
"aplikasi nya jelek,jaringan super duper lemot.yg sangat kecewa lagi saya isi pulsa di aplikasi shopee,pulsa tidak masuk.,saya coba isi yg ke 2x nya tetap belum masuk.saya email beberapa x tidak ada kemajuan,bilang nya kirim data sama transaksi nya.saya sudah kirim berkali-kali semua yg di minta tetap aja sampai sekarang belum ada kepastian nya.menyebalkan.semenjak kejadian itu saya tidak menggunakan byu lagi.",2025-03-17 09:24:43
"Pengalaman pertama pakai By.U, sinyalnya 11/12 sama kayak Telkomsel merah,naik turun di daerah saya, mungkin karena sinyal belum merata. Kadang sinyal penuh langsung hilang lalu penuh lagi dan kadang² saat hujan sinyal tidak ada. Mungkin kedepannya bisa dioptimisasi kestabilan sinyalnya agar lebih stabil, Terima kasih",2025-02-20 19:33:21
"Ku kasih bintang 1, mampus! Karena memang aplikasi sampah dan jaringan nya juga sampah !. Aplikasi banyak bug dan lag lemot, setiap login di aplikasi tampilan gelap hanya karena izin lokasi ditolak, dan paket nya juga mahal. Jaringan full tapi tidak ada kualitas yang selalu nge lag harus matikan data dan refresh pakai mode pesawat. Kan nyusahin.",2025-03-05 18:13:08
"Kualitas menurun, tidak seperti awal muncul, terutama buka WA dan Instagram, sering buffering loading lama, di WA download foto aja cuman 100kb'an doang muter aja ga ke download, mungkin semua app dari meta kayak gitu, belum d coba FB soalnya udah ga buka FB, kalo buka yg lain bisa, terus aplikasi juga muter, ada kuota proma ga bisa di beli status terjadi kesalahan, kalo beli kuota normal lancar, apa kuota promo cuman pajangan?",2025-03-10 05:41:54
"Sumpah aplikasi cacat banget. Nih fetching data lama, ketika sinyal jelek sedikit langsung ada alert terjadi kesalahan dan pesan errornya juga gajelas. Errornya dari sisi kita kah atau dari sisi server nya kah. UI oke lah, tapi UX nya ga dapet sama sekali. Dan juga ketika login gunain google dan ada error, nape balikinnya response api nya. Lempar kek ke halaman baru, kasih pesan error yang bener. Provider bagus, aplikasinya cacat",2025-02-28 15:40:29
"Kartu baru di beli 1 minggu yang lalu dan beli paket datanya 40gb tiba2 sinyal langsung gx ada... Maaf ya saya tarik kembali bintang nya,, Awal nya ingin promosikan sama tmn2 harga data nya murah tapi nihil..... Sangat menyesal baru di isi 40 gb sudah gx bisa di pakai sinyal hilng total..",2025-02-27 20:36:09
"Untuk layanan by.u saat ini menurut saya lumayan dan saya suka promo"" yang by.u tawarkan, hanya saja terkadang jaringan by.u membuat saya kesal saat bermain game lebih tepatnya, disetiap sela"" pertandingan, tiba"" sinyal by.u hilang beberapa saat dan kemudian normal kembali. Hal ini sangat mengganggu padahal sudah di tes memang jaringannya baik"" saja untuk digunakan pada hal lainnya seperti mendownload atau apapun itu selain game, tolong untuk pihak by.u ini di lakukan penanganan....👍💪",2025-03-23 22:10:53
"aplikasi by.u itu fungsi utamanya buat ngecek data dan pulsa sekaligus buat ngontrol pemakaian, jangan terlalu banyak iklan hanya memperlambat aplikasi tersebut, ini pas buka by.u langsung di sodorkan iklan bikin lemot aplikasi saja, jadi males buka...",2025-03-04 10:20:14
"Dulu aplikasi by-u sangat baik, sekarang makin banyak yang menggangu, contoh nya sekarang kalau kuota udah abis udah gak bisa buka aplikasinya kalau dulu masih bisa jd enak buat beli kuota, lalu sering terjadi error. Next kayanya ganti provider.",2025-02-21 17:25:32
"dari 2022 make by.u pengalaman selalu pas pasan, ga pernah bikin bener bener puas. apk lelet sering ada kendala, tiba tiba disuruh login ulang pake nomor, pilihan paket kuota tiba tiba ilang nongol, ga konsisten, sering banget ada kendala aplikasi, jaringan ga stabil, very disapointing.",2025-02-28 14:37:08
"Turun bintang!!! (agar di perbaiki segera!!!) Tidak ada fitur : 1. Jaga Pulsa 2. Dark Mode aplikasi sering error, koneksi sering hilang (padahal jaringan full 4G+, logo app tidak bagus bentuknya, warna udah bagus biru putih, tapi logo huruf U biasa? padahal sebenarnya udah suka ada point untuk baca komik, informasi baru, dll. tolong dengarkan saran saya ini.",2025-02-26 10:36:54
"Sering hilang sinyal,lemot dan parah sinyalnya. Malah sering errornya.nyesal banget.masak produk sekelas Telkomsel provider sejelek ini aplikasi dan SIM card nya. Gimana mau kasih 5 bintang, aplikasi buruk sekali sering gak bisa koneksi,lemot,sering ngelag lama. Maaf aja setelah kuota ini habis mau kubuang kartu SIM nya.",2025-02-06 11:03:59
"aplikasi sering eror, sering logout sendiri, sudah login logout lagi sampai 6 kali dan logout lagi dan harus menunggu 28 menit untuk bisa menerima kode otp lagi, yang lebih parahnya sudah melakukan pembayaran transaksi pembelian kuota data tapi kuota data tidak masuk, uang sudah keluar tapi kuota data tidak masuk dan anehnya transaksinya tidak tercatat, dan saat kompain malah tiba-tiba logout sendiri, sudah mecoba login sampai 6 kali tetap tidak bisa login. aplikasi aneh profer kocakkkkkkkkkkkkk",2025-03-07 07:51:27
"Haduhh makin parah ini operator, buka aplikasi lama banget berat bgt rasanya aplikasinya. Internet juga makin hancur makin lemot sejak review terakhir, ping main game jg gede bgt. Tolonglah speed internet diperhatikan, kondisi aplikasi juga dibuat ringan, targetnya anak muda kan? Buatlah simpel, sat set bgtu susah sekali yah",2025-02-10 04:22:35
"Bagus, kartu aktif selamanya, harga lumayan terjangkau, tpi kok jaringannya nggak stabil ya? Padahal udah mencoba ubah mode jaringan dari otomatis ke 2g only terus balikin lagi, udah coba on-off in airplane mode, tetep naik turun susah dapat yg stabil jdinya bikin esmosi pas lgi gaming tolong segera di perbaiki ya agar kunsomen betah pakai kartu by. U semoga membantu dan semoga di baca. Terimakasih🙏",2025-02-12 09:48:22
"Operator ini tinggal tunggu waktu buat bubar. Kualitas jaringan lemot, lapor via chat, eh direply pake prosedur basi yg nggak ada hasilnya ( mis : ganti jaringan ke 2g, mode pesawat, pindah ke slot lain, setting default bla bla bla ). Terakhir diminta kirim email dengan info yg sudah diinfokan sebelumnya via live chat. Trus apa gunanya buka channel live chat kalau nggak bisa menyelesaikan masalah.",2025-01-23 07:53:42
"ga ngerti lg sama jaringan nya, awal make enak bgt stabil lancar lah pokoknya tapi makin lama makin kesini kok jadi aneh. padahal udah mode ON/OFF kan data begitu juga udah ON/OFF KAN airplane terus udah selalu cek jaringan juga, udah ketebak si endingnya bakal error terus jaringan. padahal tinggal dikota, bisa gd pula jaringan By.U ini, hadeh ga ngerti lah tolong lah ditingkatkan lg, main game pun ping merah terus niat mau jd langganan By.U kalo tau gini sama aja mending mikir 2x atau gausa.",2025-02-28 09:59:29
"UI dah lumayan tetapi UX-nya SAMPAH!! Setiap mengerjakan misi harian uStamp lambat memproses dari baca artikel yg terkadang force close dan dengerin podcast yg pilihannya gk konsisten;pindah"" laman jg lambat; dan terkadang UI tidak konsisten",2025-01-16 23:19:22
"App sampah. Gak d iOS gk di android sama2 gak berguna aplikasi ini. Selalu ngebug dan selalu meminta kode otp berkali2, pas masuk menu chat nindy aja malah ada tulisan kesalahan pada sistem, saran saya lebih baik perbaiki dlu bugs2 aplikasi itu ketimbang bikin UI baru. Percuma tampilan berubah tapi aplikasi tidak bisa di pake",2025-01-28 15:48:48
"Jaringan lancar lancar aja,tapi masalahnya kadang apknya gabisa dibuka,katanya operatornya bermasalah tunggu beberapa jam,tpi mana? terus malah disuruh istirahat main hp karna lagi melakukan pemeliharaan sistem, padahal mau isi kuota,tolong ya untuk bug nya segera dihilangkan,sangat menyusahkan apalagi disaat genting,sampai saat ini masih belum bisa saya buka",2025-02-28 19:21:36
"Diaman menu aktivasi SIM? Kenapa malah di buat bingung, sudah jelas di cover SIM tutorial aktivasi, tapi tetep aja nggak bisa. Suruh aktivasi di aplikasi juga nggak ada menunya, ini developer UI/UX nya gimana sih? Buat aturan yang bikin bingung, anehh",2025-03-03 14:32:14
